Wavelength,"Nontronite Na_0.33Fe_2^3+(Si,Al)_4O_10(OH)_2.H_2O"
365.93,0.0
375.594,0.0
385.263,0.0
394.935,0.19860581280165998
404.613,0.2005201595269879
414.295,0.2045123628157269
423.981,0.20918698435984281
433.671,0.2152578773380161
443.366,0.22228646897371945
453.065,0.22913032354592688
462.769,0.2354232132059207
472.477,0.24123320185291347
482.19,0.24692956262890747
491.907,0.2533901973869317
501.628,0.2603436468995406
511.353,0.26740112098989427
521.084,0.27496676870556525
530.818,0.2849035000683855
540.557,0.3003104269989611
550.3,0.3248515838497852
560.048,0.3626250361562828
569.8,0.41340379595117643
579.556,0.4697601048205892
589.317,0.5220317127790967
599.082,0.5640215222780794
608.852,0.5949406385966152
618.625,0.6176288796364158
628.404,0.6353099919213165
638.187,0.650807781995246
647.974,0.6654196267787779
657.765,0.6802747027421571
667.561,0.6956101095199914
655.792,0.6772469876755457
665.599,0.6925235345168382
675.401,0.7082503979705156
685.198,0.7242132926675781
694.989,0.7402574872447386
704.776,0.756090807350489
714.557,0.7708773539384987
724.333,0.7843306520532916
734.103,0.7958007902274821
743.869,0.805149345594474
753.629,0.8123743957393778
763.384,0.817679631340915
773.133,0.8208826857681693
782.878,0.8233787748385544
792.617,0.8241365070637251
802.352,0.8251095537092877
812.081,0.8251960442200892
821.804,0.8252669987560298
831.523,0.8256762529388151
841.236,0.8268100882677224
850.944,0.8284809511658765
860.647,0.8286267546658609
870.345,0.8298961314806818
880.037,0.834235718097231
889.724,0.8396646542800197
899.407,0.8452957437902698
909.083,0.8522593322946788
918.755,0.8599018229807279
928.421,0.8682147214106302
938.083,0.8763200181953466
947.739,0.8854723708874814
957.39,0.8937352521199365
967.035,0.9018320755385902
976.675,0.9098815029210467
986.311,0.91724416332181
995.941,0.9234121149334258
1005.565,0.9288326607307885
1015.185,0.9335385486633406
1024.799,0.9376287466304248
1034.408,0.9412199938327179
1044.012,0.9442776546102299
1053.611,0.9471009020336559
1063.204,0.949396858878851
1072.793,0.9515990569411596
1082.376,0.9536599256474542
1091.954,0.9558931381615287
1101.526,0.9575109530052227
1111.094,0.958898796830513
1120.656,0.9607138520283423
1130.213,0.9617379637578269
1139.765,0.9626066052840507
1149.311,0.9635039386336822
1158.853,0.9639612570652822
1168.389,0.9641046164517845
1177.92,0.9650321273512326
1187.446,0.9652268631729028
1196.966,0.9654968870562695
1206.482,0.9658439684343337
1215.992,0.9662103368338669
1225.497,0.9657585579303388
1234.996,0.9662769273288221
1244.491,0.9664762638992745
1253.98,0.9667391238100415
1263.464,0.9668251334165227
1253.373,0.966684444570535
1263.346,0.9668309700656826
1273.318,0.9670694775094737
1283.291,0.967750104249864
1293.262,0.967933775541864
1303.234,0.9683173044536953
1452.782,0.9622361693028051
1462.75,0.9631708921848405
1472.718,0.965499394288897
1482.685,0.9681047687565837
1492.652,0.9704211199818942
1502.619,0.9725635520582137
1512.586,0.97519119960841
1522.552,0.9772790056952982
1532.518,0.9781982354485775
1542.484,0.9803876477727674
1552.45,0.9813058741780101
1562.416,0.9829001677771051
1572.381,0.9842994603481837
1582.346,0.9861969876217523
1592.311,0.9874184460079445
1602.275,0.9884734159820053
1612.24,0.9891471426720811
1622.204,0.9894974089231428
1632.167,0.9900834011698051
1642.131,0.9910526651504608
1652.094,0.9923594459775009
1662.057,0.9925990436891828
1672.02,0.9933966175084072
1681.983,0.9938384916931363
1691.945,0.9944633126318331
1701.907,0.9945647977077007
1711.869,0.9956086542153114
1721.831,0.9962101178777927
1731.792,0.996301096593613
1741.753,0.9969601557424899
1751.714,0.9975901040510293
1761.675,0.9985172754974835
1771.635,0.9993207114149959
1781.596,0.9996734169083774
1791.556,1.0
1967.375,0.9356275399784231
1977.414,0.9392524704960997
1987.45,0.9479548473558818
1997.484,0.9610184897704601
2007.515,0.9708383347888391
2017.545,0.9775827151610245
2027.572,0.9830128631817747
2037.596,0.9869328315571767
2047.619,0.9890336493571055
2057.639,0.9900657432774761
2067.656,0.9904397975827773
2077.672,0.9897711044878947
2087.685,0.9892465260540998
2097.696,0.9881181712307868
2107.704,0.9909215014394598
2117.71,0.9936525430014325
2127.714,0.9951903566395478
2137.716,0.9960041110929229
2147.715,0.9969606665579253
2157.712,0.9974640464570597
2167.707,0.9958240507395757
2177.699,0.9916365817822295
2187.689,0.9846168408697532
2197.677,0.9748066365005698
2207.662,0.9622750965359764
2217.645,0.9561029991821175
2227.626,0.9484992623429276
2237.604,0.9343938356156787
2247.581,0.9118933730937276
2257.554,0.883755041344383
2267.526,0.8607525287160809
2277.495,0.8476853246420254
2287.462,0.8335111314955479
2297.427,0.8151657788533763
2307.389,0.7962269429553944
2317.349,0.7870694338302292
2327.307,0.8048045378554419
2337.262,0.8556879396506128
2347.216,0.9126877769282927
2357.167,0.9457704914991766
2367.115,0.9518954645878558
2377.061,0.9438837974364155
2387.005,0.9323525168689069
2396.947,0.9203529042422255
2406.886,0.9068350993911696
2416.823,0.8854993147080825
2426.758,0.8535990241821362
2436.69,0.8158607309904045
2446.62,0.7764822348388505
2456.548,0.7458500760014494
2466.473,0.7276470690177491
2476.396,0.7099557495932817
2486.317,0.6815991767391578
2496.236,0.6498353259279782
