Wavelength,White gypsum dune sand.
365.93,0.0
375.594,0.0
385.263,0.0
394.935,0.06040385639014087
404.613,0.07080711263864015
414.295,0.09020672864905045
423.981,0.11058481794624529
433.671,0.13117647059545792
443.366,0.1580227082745948
453.065,0.17572256037023223
462.769,0.19507415602808031
472.477,0.21323742630074966
482.19,0.22773199100856006
491.907,0.2469944998738585
501.628,0.2719839390245338
511.353,0.29141680041711127
521.084,0.3152811987014139
530.818,0.3378629996278158
540.557,0.36467770316104586
550.3,0.39376111221689314
560.048,0.4253339026195151
569.8,0.4565789648114788
579.556,0.4806166811194736
589.317,0.5049419399922896
599.082,0.5205813491443927
608.852,0.5366456902967383
618.625,0.5564730195674865
628.404,0.5691838664687751
638.187,0.57946193860425
647.974,0.6000309112671074
657.765,0.6134351996384327
667.561,0.6197352648976271
655.792,0.6111861010596219
665.599,0.6169147914818075
675.401,0.6292437406093794
685.198,0.6421164968998565
694.989,0.6554890266347065
704.776,0.6613497242424189
714.557,0.6728817075045413
724.333,0.6842475015994266
734.103,0.6952716399120756
743.869,0.7019755524191136
753.629,0.7114340354124292
763.384,0.7214065297804669
773.133,0.7292670115056498
782.878,0.7366910029103116
792.617,0.7383804077314752
802.352,0.7446062700194745
812.081,0.7472945075390559
821.804,0.7470130835790812
831.523,0.7450660412674722
841.236,0.7520867580257373
850.944,0.7512967794648966
860.647,0.7460435021858872
870.345,0.7489977787335769
880.037,0.7490606877873085
889.724,0.753592620947989
899.407,0.755629542057911
909.083,0.7587025183046655
918.755,0.759243920700168
928.421,0.7595551752586321
938.083,0.7654671231736057
947.739,0.7702007258413737
957.39,0.776656577260956
967.035,0.7759952342323598
976.675,0.7801790671640046
986.311,0.7862085538570809
995.941,0.790609957712934
1005.565,0.7954112884371193
1015.185,0.7949154876033393
1024.799,0.7956921812124635
1034.408,0.7955042800299679
1044.012,0.8175527706615563
1053.611,0.8045326284480205
1063.204,0.8081597585534332
1072.793,0.814118638039283
1082.376,0.8124318424416029
1091.954,0.8235212825087669
1101.526,0.830180301166368
1111.094,0.821243242256152
1120.656,0.8290650166121761
1130.213,0.8213669575248179
1139.765,0.8332072590431023
1149.311,0.8389118835344875
1158.853,0.8403562908725233
1168.389,0.8437521136442422
1177.92,0.8446216399836205
1187.446,0.8503229002519782
1196.966,0.857263457470908
1206.482,0.864952676174929
1215.992,0.8746799170523013
1225.497,0.876711577110415
1234.996,0.8865078987457434
1244.491,0.8843927831702206
1253.98,0.8855898302892558
1263.464,0.8888286919939826
1253.373,0.8854007748308409
1263.346,0.8887901648180883
1273.318,0.902294779708743
1283.291,0.9017483611829741
1293.262,0.9070158320731724
1303.234,0.9050685155971404
1452.782,0.922789862137387
1462.75,0.9282539073671537
1472.718,0.9311675197956485
1482.685,0.9341136302840809
1492.652,0.9365723001438472
1502.619,0.9448039440347634
1512.586,0.9499859258565134
1522.552,0.9513552574218924
1532.518,0.9513338816558778
1542.484,0.9624255183361906
1552.45,0.9542821441915402
1562.416,0.9531418364335833
1572.381,0.9625122721158245
1582.346,0.9676057041072981
1592.311,0.962458126088126
1602.275,0.9675098178133826
1612.24,0.9758471330532547
1622.204,0.9759228856278439
1632.167,0.9780012153769648
1642.131,0.9766663646560567
1652.094,0.9773315350749684
1662.057,0.9818316608748465
1672.02,0.986110070862983
1681.983,0.9861283373565666
1691.945,0.9865840047888683
1701.907,0.9872365116322529
1711.869,0.9902876844846293
1721.831,0.9881920758143573
1731.792,0.9894362097630423
1741.753,0.9934887076081039
1751.714,0.9884630287161952
1761.675,0.9931665532311589
1771.635,0.9971121727468213
1781.596,0.9950163080873395
1791.556,1.0
1967.375,0.9115094371127769
1977.414,0.9205826200711177
1987.45,0.932524865188252
1997.484,0.9435016195256453
2007.515,0.9478657516325771
2017.545,0.9553612356784684
2027.572,0.9686486830599175
2037.596,0.9709985401989546
2047.619,0.9695582935831325
2057.639,0.9741145704599465
2067.656,0.9741568804023835
2077.672,0.9713631962951809
2087.685,0.973607611364957
2097.696,0.9721799657168185
2107.704,0.968598624172359
2117.71,0.9662975963171653
2127.714,0.9649617948108452
2137.716,0.9617409389298185
2147.715,0.9515006076248488
2157.712,0.9338917008357495
2167.707,0.9192191776299689
2177.699,0.901931334310935
2187.689,0.8768580332552423
2197.677,0.8498223737594387
2207.662,0.8332792888562672
2217.645,0.862016357353727
2227.626,0.8843952267408386
2237.604,0.892351505817791
2247.581,0.8906202120273231
2257.554,0.8917858357946122
2267.526,0.9009901394953251
2277.495,0.8995246748609637
2287.462,0.8875450280022853
2297.427,0.8711683917318631
2307.389,0.854865405960643
2317.349,0.8362900248742489
2327.307,0.8169188890996139
2337.262,0.8001889571680713
2347.216,0.790512919019362
2357.167,0.793706415504964
2367.115,0.807179584645949
2377.061,0.8114165271129615
2387.005,0.8098651938178073
2396.947,0.8104758943152559
2406.886,0.8097253644088247
2416.823,0.8026458832860593
2426.758,0.7919414205492437
2436.69,0.7819603302804531
2446.62,0.7749630148972315
2456.548,0.770764506591928
2466.473,0.7660560961501648
2476.396,0.7617152777868429
2486.317,0.7570777331918043
2496.236,0.7539275718614211
