Wavelength,s07_ASD_Jarosite_on_Qtzite_BR93-34A2_BECKa_AREF.txt
365.93,0.0942379699390759
375.594,0.09513129815264651
385.263,0.09697241214817172
394.935,0.10036208797354322
404.613,0.10594904159320427
414.295,0.11095032751579763
423.981,0.11200382462543845
433.671,0.1107291715055807
443.366,0.1149304696623687
453.065,0.12214838642262611
462.769,0.12784909105522207
472.477,0.13223415335076866
482.19,0.13599738566860087
491.907,0.1408410981619432
501.628,0.1477384604329138
511.353,0.1566010592405781
521.084,0.16862711626860666
530.818,0.18415170800514957
540.557,0.20393771040070818
550.3,0.22889810919948914
560.048,0.2571936761999824
569.8,0.2843755583983042
579.556,0.3068091450404504
589.317,0.3273103664126479
599.082,0.3435917424987447
608.852,0.3562086989669015
618.625,0.3669118680545699
628.404,0.3755582056714146
638.187,0.3839595674554742
647.974,0.39307694552606226
657.765,0.40486993201529564
667.561,0.42005162291728
655.792,0.40248959444956445
665.599,0.41673821070773165
675.401,0.4335867830391514
685.198,0.4519195488167282
694.989,0.47111300065155187
704.776,0.4883922051203249
714.557,0.503383630103224
724.333,0.5129674336286982
734.103,0.5163446407944691
743.869,0.5125844262218946
753.629,0.5017393540625651
763.384,0.4857379455050122
773.133,0.46644328516723094
782.878,0.44454888414204224
792.617,0.4223849441907074
802.352,0.40064957839742843
812.081,0.38201993721877536
821.804,0.36480715757377985
831.523,0.3477344912714056
841.236,0.33555127712565475
850.944,0.3245817459923339
860.647,0.31358291496181895
870.345,0.30944729184152164
880.037,0.3023690178216767
889.724,0.29827511141419183
899.407,0.29412621663303024
909.083,0.2890467442307633
918.755,0.28941565369094385
928.421,0.29174834809605027
938.083,0.2910926802315807
947.739,0.2898330639152726
957.39,0.29511255266719294
967.035,0.29628119146701093
976.675,0.3046617992418623
986.311,0.31154074999191794
995.941,0.3176276393999518
1005.565,0.3257961544825915
1015.185,0.3356296422153093
1024.799,0.346913470766111
1034.408,0.35701563936554115
1044.012,0.3697222062017629
1053.611,0.3827326928145665
1063.204,0.3961269914783615
1072.793,0.41033447645693155
1082.376,0.4251918270568293
1091.954,0.4382839092863779
1101.526,0.4527307996052
1111.094,0.4661036342324731
1120.656,0.48078597125036504
1130.213,0.4954322957721142
1139.765,0.5104728325271115
1149.311,0.5241689444539602
1158.853,0.5385739586686098
1168.389,0.5528336960153206
1177.92,0.5700996335647835
1187.446,0.5867151165315788
1196.966,0.6016861865041897
1206.482,0.6187127001907441
1215.992,0.6356652080115703
1225.497,0.6525554012461615
1234.996,0.6691201009659633
1244.491,0.6858175401183542
1253.98,0.7037459133938123
1263.464,0.7211125898314762
1253.373,0.702590165577796
1263.346,0.7208989288137089
1273.318,0.7388672667896307
1283.291,0.7575031083696095
1293.262,0.7734080521016212
1303.234,0.7886546744000893
1452.782,0.8603330514678504
1462.75,0.8046263052054528
1472.718,0.7952774376150119
1482.685,0.8459199600886801
1492.652,0.8694731278198581
1502.619,0.8758040775683251
1512.586,0.876330065939308
1522.552,0.8816250168380654
1532.518,0.8937212609413243
1542.484,0.9131199833871787
1552.45,0.931642577324992
1562.416,0.9470899084703291
1572.381,0.9579966605807013
1582.346,0.9693029587902529
1592.311,0.9786270455183839
1602.275,0.9845147772191133
1612.24,0.9891521572014484
1622.204,0.992811245365005
1632.167,0.9949245092327387
1642.131,0.9969293342081593
1652.094,0.9974807321369457
1662.057,0.9960489020733102
1672.02,0.9966423942874914
1681.983,0.9974333982932363
1691.945,0.9991006594730101
1701.907,1.0
1711.869,0.998962313018647
1721.831,0.9956290798032238
1731.792,0.9921117930865602
1741.753,0.9855522697704927
1751.714,0.9782902745485074
1761.675,0.9732008605260885
1771.635,0.9658316808358033
1781.596,0.9635534866963941
1791.556,0.9608131444692397
1967.375,0.7234176672211694
1977.414,0.7279770344976596
1987.45,0.7290867911201878
1997.484,0.7304030817458301
2007.515,0.7339675030759948
2017.545,0.7383230951416108
2027.572,0.7392644404187836
2037.596,0.7346932919884033
2047.619,0.7287348599970747
2057.639,0.722817747999951
2067.656,0.7169944960674716
2077.672,0.7111217485464053
2087.685,0.6964773139962058
2097.696,0.675388622570476
2107.704,0.6529945072136818
2117.71,0.637854550181788
2127.714,0.6279604692521858
2137.716,0.6169954899947278
2147.715,0.5973814275956318
2157.712,0.5708531344092855
2167.707,0.5330942220096038
2177.699,0.481638890330067
2187.689,0.42053952939793887
2197.677,0.3723162950574374
2207.662,0.3534119430693905
2217.645,0.36528972707255813
2227.626,0.39526032752412504
2237.604,0.41345595110306654
2247.581,0.3929210039572635
2257.554,0.3508694312590623
2267.526,0.34450436349805563
2277.495,0.37578464471366857
2287.462,0.4217979830659585
2297.427,0.4497458058786757
2307.389,0.4675759270763943
2317.349,0.4679913900405071
2327.307,0.46223870289929203
2337.262,0.4452042159605856
2347.216,0.4230865237869044
2357.167,0.4160912090231744
2367.115,0.4119712483831198
2377.061,0.3967174680205341
2387.005,0.3764787295849008
2396.947,0.35666372346141634
2406.886,0.3425840141654744
2416.823,0.3317608631195066
2426.758,0.31796871388035364
2436.69,0.30323918394705535
2446.62,0.292753904588078
2456.548,0.28644994986419303
2466.473,0.28040333502587245
2476.396,0.2721057616808251
2486.317,0.2638895473410834
2496.236,0.25952117257695295
