Wavelength,s07_ASD_Seawater_Open_Ocean_SW2_lwch_BECKa_AREF.txt
365.93,0.9052491223421769
375.594,0.929140822233923
385.263,0.9533815779272269
394.935,0.9778056034790179
404.613,0.9990203683510879
414.295,1.0
423.981,0.9849192428863675
433.671,0.9592605585484555
443.366,0.9241870225488273
453.065,0.8984871014884862
462.769,0.8864055839140172
472.477,0.86650355512462
482.19,0.8328254488736497
491.907,0.7772094768244255
501.628,0.7032107923798098
511.353,0.6345490316047059
521.084,0.5967575806874281
530.818,0.5749974432159085
540.557,0.5536912099586363
550.3,0.5327204801543383
560.048,0.514789306519106
569.8,0.497877342785006
579.556,0.4779282086317789
589.317,0.45843027739439
599.082,0.4434025200496784
608.852,0.4358461468708328
618.625,0.4327913513411479
628.404,0.43079399102233534
638.187,0.42910562812244873
647.974,0.4277161257744701
657.765,0.4256592699044089
667.561,0.4245874554686751
655.792,0.4260141105273823
665.599,0.42475121638163404
675.401,0.42367996384764933
685.198,0.42207805282342326
694.989,0.4204088113483972
704.776,0.418394003900529
714.557,0.4167188175196591
724.333,0.414633753536622
734.103,0.4127404673803264
743.869,0.4122180429204709
753.629,0.41121155601923276
763.384,0.4110816661006651
773.133,0.41056578641778124
782.878,0.4098745683581136
792.617,0.40927408084141537
802.352,0.4090439070742048
812.081,0.40889818614255186
821.804,0.4084025972917108
831.523,0.4077485454482917
841.236,0.40717452100093343
850.944,0.4069154142590308
860.647,0.40709978072014735
870.345,0.4075972503825602
880.037,0.4082125169652813
889.724,0.40875136600440043
899.407,0.40901390321314274
909.083,0.4088832099393033
918.755,0.4084371556424542
928.421,0.40785258953244785
938.083,0.4072994010021945
947.739,0.4069480255092545
957.39,0.4069101591533947
967.035,0.406928328912992
976.675,0.40661853061688347
986.311,0.4059464283265787
995.941,0.4051172513842617
1005.565,0.4043406188601302
1015.185,0.40369259003668145
1024.799,0.4031977126199125
1034.408,0.40285820022435503
1044.012,0.40268053331507875
1053.611,0.40263417256952594
1063.204,0.4025240933905097
1072.793,0.4021574829235055
1082.376,0.4015940554048097
1091.954,0.40098020247394295
1101.526,0.4004562723006572
1111.094,0.40010068102943874
1120.656,0.399886660418726
1130.213,0.3997491577617445
1139.765,0.399621077764746
1149.311,0.3994377453722916
1158.853,0.399166774175279
1168.389,0.39885109050047085
1177.92,0.39857333357418495
1187.446,0.39841423022856104
1196.966,0.39836320369681383
1206.482,0.3981953867310677
1215.992,0.3977957373043552
1225.497,0.39726770045588516
1234.996,0.3967528490561334
1244.491,0.3963909951516847
1253.98,0.39625471790653305
1263.464,0.39613809229749425
1253.373,0.39625942953991733
1263.346,0.3961394114128935
1273.318,0.3957940484028699
1283.291,0.3952452700394165
1293.262,0.39459293118473293
1303.234,0.3939344084109766
1452.782,0.38977680756021843
1462.75,0.389302461970209
1472.718,0.3888618848202471
1482.685,0.3884526531735814
1492.652,0.388071930117593
1502.619,0.3877156326979246
1512.586,0.38737038139495267
1522.552,0.3870096363100242
1532.518,0.3866032216805059
1542.484,0.3861193712854202
1552.45,0.3855337641148318
1562.416,0.38487272610592077
1572.381,0.3842375360184549
1582.346,0.38375504795275583
1592.311,0.3835512526829645
1602.275,0.38373550052484284
1612.24,0.38425692399306877
1622.204,0.3848175723032563
1632.167,0.38504485638640723
1642.131,0.3845650148317073
1652.094,0.3831076415015104
1662.057,0.3813278260867712
1672.02,0.38045315543952335
1681.983,0.3805274541610035
1691.945,0.38105393343792726
1701.907,0.3815337339277314
1711.869,0.3816522878503537
1721.831,0.3814004946939084
1731.792,0.38086084558643657
1741.753,0.3801188786616225
1751.714,0.3792592552169985
1761.675,0.3783533849342802
1771.635,0.3774505264922999
1781.596,0.3765925661236878
1791.556,0.37582026288333287
1967.375,0.36358403509304277
1977.414,0.3622036372283758
1987.45,0.36063135239056193
1997.484,0.35910239170058855
2007.515,0.3578086508435159
2017.545,0.3567921057061984
2027.572,0.35599087723947337
2037.596,0.35533918679870446
2047.619,0.35477088152677827
2057.639,0.35422006304189296
2067.656,0.3536200797111306
2077.672,0.35290350234998663
2087.685,0.35200410472493265
2097.696,0.35085291443157396
2107.704,0.3494123302400812
2117.71,0.3477487504623709
2127.714,0.34599951070902885
2137.716,0.3443020670282024
2147.715,0.3427987562981703
2157.712,0.3415804967098673
2167.707,0.3405694555997347
2177.699,0.3395713557382296
2187.689,0.33839803779826905
2197.677,0.33683240323183017
2207.662,0.33492758743434936
2217.645,0.3333064238613681
2227.626,0.3322612455176156
2237.604,0.3314882018628183
2247.581,0.3306662471923905
2257.554,0.32953674452638304
2267.526,0.3280702763857126
2277.495,0.32639578986838014
2287.462,0.3246448798707192
2297.427,0.32295330750773293
2307.389,0.32141965247655196
2317.349,0.3200092415824695
2327.307,0.3185931603589646
2337.262,0.31704084691952983
2347.216,0.3152169151835785
2357.167,0.3130320313961995
2367.115,0.310568071368626
2377.061,0.3080673419398556
2387.005,0.3056841222149487
2396.947,0.30361438142471436
2406.886,0.30203516576991646
2416.823,0.3007278770327023
2426.758,0.29920250177625746
2436.69,0.29685812293570973
2446.62,0.2930951577813541
2456.548,0.2876723629531439
2466.473,0.2806125070305176
2476.396,0.2720164985381292
2486.317,0.2622111908425768
2496.236,0.2518650653214761
